pgr_id,pgr_name,Mean_no2
0240,Friedrichshain West,18.98
0120,Moabit,18.63
0110,Zentrum,18.56
0370,Südlicher Prenzlauer Berg,18.48
0810,Neukölln,18.37
0450,Wilmersdorf Zentrum,18.35
0430,Charlottenburg Zentrum,17.86
0740,Tempelhof,17.81
0210,Kreuzberg Nord,17.69
0730,Friedenau,17.54
0720,Schöneberg Süd,17.52
0220,Kreuzberg Süd,17.45
0360,Nördlicher Prenzlauer Berg,17.32
0710,Schöneberg Nord,17.02
0130,Gesundbrunnen,16.96
0610,Steglitz,16.75
0140,Wedding,16.68
0250,Friedrichshain Ost,16.57
0410,Charlottenburg Nord,16.5
1210,Reinickendorf Ost,16.48
0230,Kreuzberg Ost,16.2
1130,Lichtenberg Nord,16.09
0910,Treptow-Köpenick 1,15.83
0340,Südliches Pankow,15.24
0820,Britz/Buckow,15.17
0530,Haselhorst / Siemensstadt,15.13
1140,Lichtenberg Mitte,14.99
0350,Südliches Weißensee,14.94
0830,Gropiusstadt,14.61
0920,Treptow-Köpenick 2,14.57
0440,Wilmersdorf Süd,14.34
1010,Marzahn,14.3
0750,Mariendorf,14.3
1120,Hohenschönhausen Süd,14.08
1260,Märkisches Viertel,13.96
0840,Buckow Nord/Rudow,13.92
1220,Tegel,13.73
0620,Lankwitz/Lichterfelde Ost,13.51
1020,Hellersdorf,13.42
0630,Zehlendorf Süd/Lichterfelde West,13.35
1030,Biesdorf,13.33
0760,Marienfelde / Lichtenrade,13.23
1250,Wittenau/Borsigwalde,13.11
1150,Lichtenberg Süd,12.92
0330,Nördliches Weißensee,12.57
0520,Wilhelmstadt / Staaken,12.32
1040,Kaulsdorf/Mahlsdorf,12.31
0420,Charlottenburg West,12.21
1110,Hohenschönhausen Nord,12.12
0510,Spandau Mitte / Nord,11.99
0930,Treptow-Köpenick 3,11.39
0320,Nördliches Pankow,11.37
0310,Buch,11.37
1240,Grüner Norden,11.19
0640,Zehlendorf Nord/Wannsee,10.88
0940,Treptow-Köpenick 4,10.25
0950,Treptow-Köpenick 5,10.24
0540,Gatow / Kladow,10.11
