pgr_id,pgr_name,treeCount
0640,Zehlendorf Nord/Wannsee,41806
1010,Marzahn,38041
1240,Grüner Norden,37651
0110,Zentrum,30137
0510,Spandau Mitte / Nord,28415
1130,Lichtenberg Nord,26337
0340,Südliches Pankow,24205
0420,Charlottenburg West,23392
0630,Zehlendorf Süd/Lichterfelde West,23190
0620,Lankwitz/Lichterfelde Ost,22577
1020,Hellersdorf,22488
0820,Britz/Buckow,22425
0910,Treptow-Köpenick 1,20522
1110,Hohenschönhausen Nord,18510
1250,Wittenau/Borsigwalde,18292
0810,Neukölln,18205
0330,Nördliches Weißensee,18185
0360,Nördlicher Prenzlauer Berg,17557
0760,Marienfelde / Lichtenrade,17425
1040,Kaulsdorf/Mahlsdorf,17417
0520,Wilhelmstadt / Staaken,17107
1030,Biesdorf,16851
0440,Wilmersdorf Süd,15763
0950,Treptow-Köpenick 5,15713
0450,Wilmersdorf Zentrum,15673
0920,Treptow-Köpenick 2,15365
0540,Gatow / Kladow,15115
1210,Reinickendorf Ost,14428
0140,Wedding,14180
0610,Steglitz,13903
0740,Tempelhof,13698
1140,Lichtenberg Mitte,12588
0320,Nördliches Pankow,12074
0240,Friedrichshain West,12014
0750,Mariendorf,11764
0930,Treptow-Köpenick 3,10968
0430,Charlottenburg Zentrum,10754
0350,Südliches Weißensee,10553
0120,Moabit,10307
1120,Hohenschönhausen Süd,10074
0840,Buckow Nord/Rudow,9654
1220,Tegel,9359
0530,Haselhorst / Siemensstadt,9111
0310,Buch,9079
1150,Lichtenberg Süd,8943
0730,Friedenau,8765
0130,Gesundbrunnen,8459
0220,Kreuzberg Süd,8345
0250,Friedrichshain Ost,8005
0230,Kreuzberg Ost,6647
0370,Südlicher Prenzlauer Berg,6505
0720,Schöneberg Süd,5882
0210,Kreuzberg Nord,5863
0830,Gropiusstadt,5723
0940,Treptow-Köpenick 4,5666
1260,Märkisches Viertel,5375
0710,Schöneberg Nord,4540
0410,Charlottenburg Nord,4025
