pgr_id,pgr_name,total_sealing_area
0940,Treptow-Köpenick 4,9
0310,Buch,11
0640,Zehlendorf Nord/Wannsee,15
0540,Gatow / Kladow,15
0950,Treptow-Köpenick 5,15
1240,Grüner Norden,18
0930,Treptow-Köpenick 3,19
1110,Hohenschönhausen Nord,21
0420,Charlottenburg West,21
0320,Nördliches Pankow,25
0510,Spandau Mitte / Nord,26
0330,Nördliches Weißensee,28
1030,Biesdorf,34
0410,Charlottenburg Nord,35
1220,Tegel,36
0520,Wilhelmstadt / Staaken,36
1250,Wittenau/Borsigwalde,36
0910,Treptow-Köpenick 1,37
1040,Kaulsdorf/Mahlsdorf,38
0440,Wilmersdorf Süd,39
0820,Britz/Buckow,41
1010,Marzahn,42
0620,Lankwitz/Lichterfelde Ost,42
0920,Treptow-Köpenick 2,43
0630,Zehlendorf Süd/Lichterfelde West,44
1020,Hellersdorf,45
1150,Lichtenberg Süd,45
0840,Buckow Nord/Rudow,45
0760,Marienfelde / Lichtenrade,45
0340,Südliches Pankow,47
0140,Wedding,48
0830,Gropiusstadt,48
0750,Mariendorf,48
1140,Lichtenberg Mitte,48
0530,Haselhorst / Siemensstadt,48
1260,Märkisches Viertel,49
0740,Tempelhof,51
0350,Südliches Weißensee,51
1210,Reinickendorf Ost,52
1120,Hohenschönhausen Süd,53
0610,Steglitz,56
1130,Lichtenberg Nord,56
0240,Friedrichshain West,58
0730,Friedenau,58
0810,Neukölln,61
0250,Friedrichshain Ost,63
0130,Gesundbrunnen,64
0360,Nördlicher Prenzlauer Berg,64
0220,Kreuzberg Süd,65
0110,Zentrum,65
0210,Kreuzberg Nord,67
0120,Moabit,67
0230,Kreuzberg Ost,69
0430,Charlottenburg Zentrum,69
0370,Südlicher Prenzlauer Berg,72
0710,Schöneberg Nord,73
0720,Schöneberg Süd,74
0450,Wilmersdorf Zentrum,75
