pgr_id,pgr_name,area_km2,mean_no2,mean_pm25,max_ageGroup,totalBuildings,max_ageGroupPercent,total_sealing_area,no_Imbiss,unique_f_streets,unique_m_streets,unique_streets_count,fStreets_percent,treeCount,population,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,total_anual_yield_gwh
110,Zentrum,15.84,18.56,11.13,"('x_bis_1900', 1391)",4225,32.9,65,355,49,166,215,22.8,30137,124331,9.565,3.22375,9.673125,1.981875,303
120,Moabit,8.22,18.63,11.02,"('x_bis_1900', 885)",2920,30.3,67,200,22,63,85,25.9,10307,89877,9.706153846153846,3.130769230769231,9.37,2.48,176
130,Gesundbrunnen,5.68,16.96,11.36,"('x_bis_1900', 441)",2587,17.0,64,150,2,36,38,5.3,8459,78592,10.094285714285714,3.2714285714285714,9.698571428571428,2.5814285714285714,101
140,Wedding,9.63,16.68,10.99,"('x1901_1910', 835)",3873,21.6,48,187,1,39,40,2.5,14180,102856,9.65153846153846,3.4030769230769233,9.246153846153849,2.373076923076923,136
210,Kreuzberg Nord,2.94,17.69,11.37,"('x1971_1980', 219)",1039,21.1,67,89,5,36,41,12.2,5863,41369,9.321666666666667,3.09,9.045,2.54,57
220,Kreuzberg Süd,4.74,17.45,11.13,"('x_bis_1900', 1422)",2613,54.400000000000006,65,180,4,68,72,5.6000000000000005,8345,64694,9.68142857142857,3.0242857142857145,9.394285714285717,2.3299999999999996,98
230,Kreuzberg Ost,2.76,16.2,11.27,"('x_bis_1900', 1056)",1875,56.3,69,198,5,22,27,18.5,6647,45865,8.978333333333333,3.24,9.206666666666663,2.681666666666666,62
240,Friedrichshain West,4.58,18.98,11.35,"('x1951_1960', 355)",1374,25.8,58,98,10,36,46,21.7,12014,52843,9.146666666666668,2.9499999999999997,9.34,2.625,71
250,Friedrichshain Ost,5.37,16.57,11.41,"('x_bis_1900', 844)",2912,28.999999999999996,63,222,7,75,82,8.5,8005,88095,9.785454545454543,2.9481818181818182,9.914545454545454,2.6245454545454545,98
310,Buch,22.97,11.37,9.95,"('x1971_1980', 254)",1321,19.2,11,4,3,18,21,14.3,9079,17751,10.99,3.533333333333333,12.976666666666668,2.4233333333333333,56
320,Nördliches Pankow,26.12,11.37,10.45,"('x1991_2000', 2135)",8303,25.7,25,20,9,58,67,13.4,12074,48949,11.981428571428571,3.687142857142857,10.43,2.2466666666666666,148
330,Nördliches Weißensee,22.21,12.57,10.77,"('x1991_2000', 2973)",9089,32.7,28,21,4,23,27,14.8,18185,37544,11.567142857142857,3.67,11.024285714285714,3.158333333333333,122
340,Südliches Pankow,12.84,15.24,11.4,"('x1921_1930', 1257)",7607,16.5,47,48,12,80,92,13.0,24205,95050,10.702142857142858,3.46,10.34769230769231,2.377692307692308,158
350,Südliches Weißensee,7.94,14.94,11.23,"('x1921_1930', 654)",3836,17.0,51,39,6,55,61,9.8,10553,57350,10.29857142857143,3.242857142857143,9.425714285714289,1.997142857142857,125
360,Nördlicher Prenzlauer Berg,8.04,17.32,11.36,"('x1901_1910', 1017)",4628,22.0,63,132,10,93,103,9.7,17557,108165,10.21,3.0626666666666664,9.908666666666669,1.7333333333333334,143
370,Südlicher Prenzlauer Berg,3.03,18.48,11.45,"('x_bis_1900', 1021)",2307,44.3,72,120,7,25,32,21.9,6505,61031,9.947142857142856,3.045714285714286,9.657142857142857,1.9528571428571428,72
410,Charlottenburg Nord,5.79,16.5,10.59,"('x1951_1960', 349)",989,35.3,35,6,4,51,55,7.3,4025,19532,11.465,3.065,11.42,3.34,42
